Tema Principal;Requisitos Necessários;Presente;Ausente;;;;
Análise do Desafio Tecnológico;Avaliação de Rotina Tecnológica;;;;;;
Análise do Desafio Tecnológico;Utiliza tecnologias já consolidadas no mercado;1;0;;;;
Análise do Desafio Tecnológico;Segue padrões e normas técnicas estabelecidas;1;0;;;;
Análise do Desafio Tecnológico;Emprega metodologias convencionais;1;0;;;;
Análise do Desafio Tecnológico;Possui fornecedores/soluções comerciais disponíveis;1;0;;;;
Análise do Desafio Tecnológico;Já foi implementado anteriormente pela empresa;1;0;;;;
Análise do Desafio Tecnológico;Já foi implementado por outras empresas do setor;1;0;;;;
Análise do Desafio Tecnológico;Segue especificações técnicas pré-definidas;1;0;;;;
Análise do Desafio Tecnológico;Utiliza equipamentos/software comerciais padrão;1;0;;;;
Análise do Desafio Tecnológico;Melhoria de processo;1;0;;;;
Análise do Desafio Tecnológico;Aplicação de análises já utilizadas;1;0;;;;
Análise do Desafio Tecnológico;Total da Avaliação de Rotina Tecnológica;10;0;;;;
Análise do Desafio Tecnológico;Necessidade de Pesquisa e Desenvolvimento;;;;;;
Análise do Desafio Tecnológico;Contribui para a base de conhecimento;1;0;;;;
Análise do Desafio Tecnológico;Pesquisa bibliográfica básica;1;0;;;;
Análise do Desafio Tecnológico;Pesquisa aplicada;1;0;;;;
Análise do Desafio Tecnológico;Desenvolvimento experimental;1;0;;;;
Análise do Desafio Tecnológico;Testes e validações co mercado;1;0;;;;
Análise do Desafio Tecnológico;Problema Complexo e Inexplorado;1;0;;;;
Análise do Desafio Tecnológico;Consulta a manuais técnicos;1;0;;;;
Análise do Desafio Tecnológico;Análise de especificações comerciais;1;0;;;;
Análise do Desafio Tecnológico;Treinamento em tecnologias existentes;1;0;;;;
Análise do Desafio Tecnológico;Reestruturar tecnologias;1;0;;;;
Análise do Desafio Tecnológico;Total da Necessidade de Pesquisa e Desenvolvimento;10;0;;;;
Análise do Desafio Tecnológico;Competências Técnicas (Recursos Humanos);;;;;;
Análise do Desafio Tecnológico;Conhecimentos básicos de engenharia;1;0;;;;
Análise do Desafio Tecnológico;Experiência em implementação similar;1;0;;;;
Análise do Desafio Tecnológico;Conhecimento de normas técnicas;1;0;;;;
Análise do Desafio Tecnológico;Habilidades operacionais padrão;1;0;;;;
Análise do Desafio Tecnológico;Conhecimento de novas tecnologias;1;0;;;;
Análise do Desafio Tecnológico;Conhecimento em diversas areas de pesquisa;1;0;;;;
Análise do Desafio Tecnológico;Experiência em gestão de negócios;1;0;;;;
Análise do Desafio Tecnológico;Experiencia em marketing e comunicação;1;0;;;;
Análise do Desafio Tecnológico;Experiência em engenharia;1;0;;;;
Análise do Desafio Tecnológico;Experiência em IoT, big data,IA,...;1;0;;;;
Análise do Desafio Tecnológico;Total das Competências Técnicas;10;0;;;;
Análise do Desafio Tecnológico;Total Geral da Análise do Desafio Tecnológico;30;0;;;;
Avaliação de Recursos e Metodologia;Abordagem Metodológica;;;;;;
Avaliação de Recursos e Metodologia;Metodologia padrão ;1;0;;;;
Avaliação de Recursos e Metodologia;Normas técnicas estabelecidas e Procedimentos operacionais padrão;1;0;;;;
Avaliação de Recursos e Metodologia;Boas práticas do setor;1;0;;;;
Avaliação de Recursos e Metodologia;Recomendações do fornecedor;1;0;;;;
Avaliação de Recursos e Metodologia;Agrega metodologia padrão com novos processos;1;0;;;;
Avaliação de Recursos e Metodologia;Total da Abordagem Metodológica;5;0;;;;
Avaliação de Recursos e Metodologia;Cronograma e Planejamento;;;;;;
Avaliação de Recursos e Metodologia;Cronograma detalhado e estruturado;1;0;;;;
Avaliação de Recursos e Metodologia;Etapas claramente definidas;1;0;;;;
Avaliação de Recursos e Metodologia;Marcos de controle bem estabelecidos;1;0;;;;
Avaliação de Recursos e Metodologia;Coerência entre prazos e recursos disponíveis;1;0;;;;
Avaliação de Recursos e Metodologia;Gestão de riscos no planejamento;1;0;;;;
Avaliação de Recursos e Metodologia;Total do Cronograma e Planejamento;5;0;;;;
Avaliação de Recursos e Metodologia;Total Geral da Avaliação de Recursos e Metodologia;10;0;;;;
Indicadores de Projeto Rotineiro;Aspectos de Execução;;;;;;
Indicadores de Projeto Rotineiro;Metodologia de implementação bem conhecida;1;0;;;;
Indicadores de Projeto Rotineiro;Cronograma altamente previsível;1;0;;;;
Indicadores de Projeto Rotineiro;Recursos necessários claramente definidos;1;0;;;;
Indicadores de Projeto Rotineiro;Riscos técnicos mínimos ou bem conhecidos;1;0;;;;
Indicadores de Projeto Rotineiro;Resultados esperados previsíveis;1;0;;;;
Indicadores de Projeto Rotineiro;Total dos Aspectos de Execução;5;0;;;;
Indicadores de Projeto Rotineiro;Aspectos de Mercado;;;;;;
Indicadores de Projeto Rotineiro;Soluções similares amplamente disponíveis;1;0;;;;
Indicadores de Projeto Rotineiro;Fornecedores múltiplos no mercado;1;0;;;;
Indicadores de Projeto Rotineiro;Tecnologia commodity ou semi-commodity;1;0;;;;
Indicadores de Projeto Rotineiro;Implementações anteriores bem-sucedidas conhecidas;1;0;;;;
Indicadores de Projeto Rotineiro;Padrões de qualidade estabelecidos;1;0;;;;
Indicadores de Projeto Rotineiro;Total dos Aspectos de Mercado;5;0;;;;
Indicadores de Projeto Rotineiro;Total Geral Indicadores de Projeto Rotineiro;10;0;;;;
Classificação Final;Análise do Desafio Tecnológico;30;;;;;
Classificação Final;Avaliação de Recursos e Metodologia;10;;;;;
Classificação Final;Indicadores de Projeto Rotineiro;10;;;;;
Classificação Final;Pontuação Geral Final;50;;;;;
Classificação por Faixas;Rotineiro;0-20;;;;;
Classificação por Faixas;Projeto com baixo desafio tecnológico;21-30;;;;;
Classificação por Faixas;Projeto com desafio tecnológico moderado;31-40;;;;;
