Tema Principal;Requisitos Necessários;Presente;Ausente;
Definição e Clareza do Problema Prático ;Critério - Viabilidade Científica;;;
Definição e Clareza do Problema Prático ;Visa ampliar o conhecimento prático do problema;1;0;
Definição e Clareza do Problema Prático ;Investiga mecanismos aplicados do problema;1;0;
Definição e Clareza do Problema Prático ;Contribui para teoria científica estabelecida;1;0;
Definição e Clareza do Problema Prático ;Explora novos aplicações;1;0;
Definição e Clareza do Problema Prático ;Amplia fronteiras do conhecimento prático;1;0;
Definição e Clareza do Problema Prático ;Total de Critério - Viabilidade Científica;5;0;
Definição e Clareza do Problema Prático ;Problema da Pesquisa;;;
Definição e Clareza do Problema Prático ;Hipótese ou Questão de Pesquisa Inédita;1;0;
Definição e Clareza do Problema Prático ;Preenche Lacuna do Conhecimento;1;0;
Definição e Clareza do Problema Prático ;Objetivo geral e específicos definidos;1;0;
Definição e Clareza do Problema Prático ;Justificativa da pesquisa estruturada;1;0;
Definição e Clareza do Problema Prático ;Referências apresentadas;1;0;
Definição e Clareza do Problema Prático ;Total do Problema da Pesquisa;5;0;
Definição e Clareza do Problema Prático ;Qualidade da Fundamentação Teórica;;;
Definição e Clareza do Problema Prático ;Referências atuais (últimos 5 anos);1;0;
Definição e Clareza do Problema Prático ;Adequada à Metodologia;1;0;
Definição e Clareza do Problema Prático ;Abrangência a todos os aspectos da pesquisa;1;0;
Definição e Clareza do Problema Prático ;Clareza e coerência na sua construção;1;0;
Definição e Clareza do Problema Prático ;Análise crítica do referencial para embasamento da pesquisa;1;0;
Definição e Clareza do Problema Prático ;Total da Qualidade da Fundamentação Teórica;5;0;
Definição e Clareza do Problema Prático ;Total Geral da Definição e Clareza do Problema Prático;15;0;
Metodologia da Pesquisa;Adequação Metodológica;;;
Metodologia da Pesquisa;Coerência entre Metodologia e Problema de Pesquisa;1;0;
Metodologia da Pesquisa;Delineamento da Pesquisa  (ex: experimental, quasi-experimental, estudo de caso, etc.) e tipo de metodologia;1;0;
Metodologia da Pesquisa;Procedimentos de Coleta de Dados;1;0;
Metodologia da Pesquisa;Definição clara dos instrumentos de análise e avaliação dos dados;1;0;
Metodologia da Pesquisa;Considerações Éticas e Bioéticas;1;0;
Metodologia da Pesquisa;Total da Adequação Metodológica;5;0;
Metodologia da Pesquisa;Equipe e Competências;;;
Metodologia da Pesquisa;Formação Acadêmica Relevante;1;0;
Metodologia da Pesquisa;Experiência Profissional Específica;1;0;
Metodologia da Pesquisa;Histórico de Resultados Comprovados;1;0;
Metodologia da Pesquisa;Experiência em Trabalho em Equipe;1;0;
Metodologia da Pesquisa;Habilidades Complementares;1;0;
Metodologia da Pesquisa;Total da Equipe e Competências;5;0;
Metodologia da Pesquisa;Total Geral da Metodologia da Pesquisa;10;0;
Adequação de Recursos;Infraestrutura ;;;
Adequação de Recursos;Laboratórios especializados e Manutenção e Calibração de Equipamentos;1;0;
Adequação de Recursos;Equipamentos para pesquisa;1;0;
Adequação de Recursos;Insumos para pesquisa;1;0;
Adequação de Recursos;Recursos computacionais , Biblioteca/bases de dados;1;0;
Adequação de Recursos;Materiais de consumo específicos;1;0;
Adequação de Recursos;Total da Infraestrutura ;5;0;
Adequação de Recursos;Orçamento;;;
Adequação de Recursos;Universidade;1;0;
Adequação de Recursos;Edital de fomento;1;0;
Adequação de Recursos;Parcerias-colaborações;1;0;
Adequação de Recursos;P&D;1;0;
Adequação de Recursos;Outras fontes;1;0;
Adequação de Recursos;Total do Orçamento;5;0;
Adequação de Recursos;Riscos / Plano de contingência;;;
Adequação de Recursos;Cronograma / Validação prévia;1;0;
Adequação de Recursos;Resultados Inesperados ou Contraditórios/Análise Crítica e Reavaliação;1;0;
Adequação de Recursos;Dificuldade de Interpretação dos Dados/ Equipe técnica e reavaliação;1;0;
Adequação de Recursos;Avanço Científico Rápido na Área/ Monitoramento da Literatura;1;0;
Adequação de Recursos;Limitações Tecnológicas ou de Equipamentos/Planejamento Financeiro;1;0;
Adequação de Recursos;Total de Riscos / Plano de contingência;5;0;
